suburb,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation
MAGPIE,1,0,0,0,0,0,0,0
CODRINGTON,1,0,0,0,0,0,0,0
FISH CREEK,2,0,0,0,0,0,0,0
MALDON,3,1,1,1,1,0,0,0
MANDURANG,1,0,1,0,0,0,0,0
MANIFOLD HEIGHTS,1,1,3,0,0,0,0,0
MARDAN,1,0,0,0,0,0,0,0
MUSKERRY,1,0,0,0,0,0,0,0
NEWLYN NORTH,1,0,0,0,0,0,0,0
TOOLLEEN,1,0,0,0,0,0,0,0
WULGULMERANG WEST,1,0,0,0,0,0,0,0
ASHBURTON,8,1,10,0,1,0,0,28
NYORA,1,1,2,0,0,0,0,0
NEW GISBORNE,4,0,1,0,0,0,0,0
HEATHCOTE,3,1,2,1,1,0,0,0
MOONEE PONDS,6,1,5,1,1,0,0,77
GLEN FORBES,1,0,0,0,0,0,0,0
TONGALA,4,1,0,0,1,0,0,0
ALTONA MEADOWS,8,0,18,2,0,0,0,48
BROOKLYN,3,0,3,0,0,0,0,27
ASPENDALE GARDENS,2,0,2,0,0,0,0,17
CORINELLA,3,0,2,0,0,0,0,0
BIG HILL,1,0,0,0,0,0,0,0
HILLSIDE,10,0,21,2,0,0,0,44
KOONWARRA,2,0,0,0,0,0,0,0
GRASSMERE,2,1,0,0,0,0,0,0
GRETA SOUTH,1,0,0,0,0,0,0,0
SWAN REACH,1,0,1,0,0,0,0,0
TECOMA,2,0,0,0,0,0,0,20
LOWER PLENTY,2,0,2,0,0,0,0,13
NEWSTEAD,2,1,0,0,1,0,0,0
GEELONG WEST,6,0,5,1,0,0,0,0
ST GERMAINS,1,0,0,0,0,0,0,0
TETOORA ROAD,1,0,0,0,0,0,0,0
STRATHBOGIE,2,0,1,0,0,0,0,0
VIOLET TOWN,3,1,0,0,1,0,0,0
SPRING GULLY,2,0,1,0,0,0,0,0
ORRVALE,2,0,0,0,0,0,0,0
OSBORNES FLAT,1,1,0,0,0,0,0,0
CROYDON SOUTH,1,0,3,0,0,0,0,15
GIRGARRE EAST,1,0,0,0,0,0,0,0
